id,昵称,性别,所在地,关注数,粉丝数,微博数,创建时间,等级,会员等级,个人简介,教育经历,公司,阳光信用,类别,
6976028935,其谓之9EQ105,男,其他,0,1,60,2019/1/28,4,0,,,,信用较低,2,
6876171982,酷帅大奎_vtz27,男,陕西 西安,61,22,64,,4,0,,,,,2,
6898682323,用户6898682323,男,福建,0,1,27,,4,0,,,,,2,
7014573449,亲一口奎sqa979,男,其他,0,1,13,2019/3/1,3,0,,,,信用较低,2,
6898351471,最甜的蔡_xbx69,男,广东,61,1,122,,4,0,,,,,2,
7015202604,82号困yre638,男,其他,0,1,13,2019/3/1,4,0,,,,信用较低,2,
6941439881,公益爱困ckn150,男,其他,0,1,16,,3,0,,,,,2,
1992484891,我的男神叫蔡徐坤kun,女,广东,366,303,6909,,25,1,用时间证明我对你的忠诚。,,,,0,
6510640320,要改啥名儿呢,女,广东,207,101,5698,,21,0,一个为宝贝努力的小号,,,,2,
6975336770,坤坤6yDH623,男,其他,0,1,264,,4,0,,,,,2,
6965441672,用户6965441672,男,其他,2,1,40,2019/1/20,4,0,,,,信用一般,2,
6975467032,万东136a,女,山东,1,1,51,,4,0,,,,,2,
6941096313,AK突突jjf422,男,其他,0,1,33,2019/1/15,3,0,,,,信用较低,2,
6995901790,为你倾倒JZX909,男,其他,0,1,8,,3,0,,,,,2,
7012426012,陪坤左右T6e032,男,其他,0,1,46,,4,0,,,,,2,
7017395861,奎妈爱坤8S1412,男,其他,0,1,29,,4,0,,,,,2,
5671306766,甜酒果的金薇薇呀,女,内蒙古,331,393,3451,,9,0,BTS.367 骂我正主死�,,,,0,
6424251250,被爱的苦笑,女,北京,434,229,4044,2017/12/10,9,0,ikun,,,信用较好,0,
6824395599,用户6824395599,男,甘肃 嘉峪关,0,1,134,,4,0,,,,,2,
7012952195,小菜包cI5361,男,其他,0,1,23,,4,0,,,,,2,
6606024937,用户6606024937,男,其他,1,1,821,2018/7/20,4,0,,,,信用较低,2,
7018840764,想念奎3k9090,男,其他,0,1,209,,4,0,,,,,2,
5466199081,用户5466199081,男,内蒙古 呼和浩特,64,1,4,,3,0,,,,,2,
6941483873,蓝玫瑰hwL012,男,其他,12,1,344,2019/1/16,4,0,,,,信用较低,2,
6820488374,小泡泡泡IKUN,女,四川,116,266,10656,,21,3,�微博因蔡徐坤下载，只为坤坤而来�,,,,0,
6713634643,拐_yt,男,河南,57,1,281,2018/9/20,4,0,,,,信用较低,2,
6825459816,用户6825459816,男,贵州 六盘水,0,1,188,,4,0,,,,,2,
5771784545,陪你走过春夏秋冬kun,女,湖南,299,67,13464,,9,2,IKUN❤,,,,0,
6989661248,用户6989661248,男,其他,0,1,814,2019/2/9,2,0,,,,信用较低,2,
6940713982,爱困不悔rZW165,男,其他,0,1,12,,2,0,,,,,2,
7005560300,酷帅大坤50Y199,男,其他,0,1,77,,4,0,,,,,2,
6918030185,耀眼夺目75191,男,其他,0,1,63,2019/1/4,4,0,,,,信用较低,2,
6907168280,紫竹語嫣丶Styl,女,江西,58,1,105,,4,0,,,,,2,
6713617462,饰_mini,女,河南,61,1,294,,4,0,,,,,2,
5274030185,莎莉哇莎莉哇o_O,男,北京 海淀区,271,145,4846,,27,5,尹渃沫�&amp;�,,,,0,
6904321469,思索粉_xnmm7,男,台湾,82,1,28,2018/12/28,4,0,,,,信用较低,2,
6940150510,陪坤左右G9g588,男,其他,0,1,134,,4,0,,,,,2,
6514777495,_你的眼神_KUN,女,云南,98,61,510,2018/3/26,4,3,独一无二的☞kun☜,,,信用较好,0,
6614851490,葱坠反寄夜蕾,女,江西,5,1,994,,4,0,,,,,2,
7011834234,陪坤左右5sq949,男,其他,0,1,30,,0,0,,,,,2,
7011551734,用户7011551734,男,其他,0,1,21,2019/2/26,4,0,,,,信用较低,2,
7017609869,笨笨奎1iZ810,男,其他,0,1,81,,4,0,,,,,2,
7012699393,奶糖小葵pst590,男,其他,0,1,27,2019/2/27,4,0,,,,信用较低,2,
6933826345,透过世俗依然不俗,女,河南,199,78,473,,11,1,,,,,0,
6877565037,花开馥郁77469,男,福建 厦门,0,1,294,,4,0,,,,,2,
6962146160,用户6962146160,男,其他,1,1,53,2019/1/18,4,0,,,,信用一般,2,
6940552367,孤独王者txr263,男,其他,0,1,16,,3,0,,,,,2,
6060350486,心欢爱困,女,云南,269,306,5866,,29,4,叶麟妈妈,,,,0,
7004712420,每天种菜wNH911,男,其他,0,1,73,2019/2/21,4,0,,,,信用较低,2,
6968159843,慕容成业Channing,男,其他,2,1,308,,4,0,,,,,2,
5889562206,一颗西蓝菜-,女,广东,296,259,7722,,34,6,,,,,0,
2945983433,一个喜欢困的路人甲乙丙丁,女,广东,101,259,1206,2012/9/12,14,5,If you need me，I will be your side,,,信用较好,0,
6986162489,用户6986162489,男,其他,0,1,20,,4,0,,,,,2,
6983540614,用户6983540614,男,其他,0,1,33,,4,0,,,,,2,
6988606527,过门不_kRB796,男,其他,0,1,22,2019/2/8,4,0,,,,信用较低,2,
6626188977,丽质day丶complete,男,广东,47,1,241,2018/8/8,4,0,,,,信用较低,2,
7014391953,小猫咪FJ7629,男,其他,0,1,135,,3,0,,,,,2,
6917968489,蔡先生04703,男,其他,0,1,89,,4,0,,,,,2,
7016497215,坤小迷妹vA1611,男,其他,5,1,67,,4,0,,,,,2,
6697460231,呜呜的泰泰,女,黑龙江,30,8,1556,2018/9/13,4,1,,,,信用较好,0,
7018414450,82纯K0Fy028,男,其他,0,1,168,,4,0,,,,,2,
7013575552,超A大奎apQ663,男,其他,0,1,24,2019/2/27,4,0,,,,信用较低,2,
6826386447,OC喂喂坤啊丶,男,湖北,0,1,215,,4,0,,,,,2,
7016941065,超爱大奎Y0t161,男,其他,0,1,81,,4,0,,,,,2,
6785978088,潘珅的星期八萌,女,黑龙江,61,1,13,2018/10/21,2,0,,,,信用较低,2,
7015048077,最爱的菜Gfd484,男,其他,0,1,136,,4,0,,,,,2,
6960023349,坤坤的GLCLy648,男,其他,0,1,18,2019/1/17,3,0,,,,信用较低,2,
7010870641,用户7010870641,男,其他,0,1,18,,3,0,,,,,2,
6960326411,蜜桃葵KZ9954,男,其他,1,1,46,,4,0,,,,,2,
7018781434,菜菜哇47H204,男,其他,0,1,29,2019/3/4,3,0,,,,信用较低,2,
7013513479,绽放光芒Xvr086,男,其他,0,1,62,,4,0,,,,,2,
6520183769,白白瘦瘦滴倩,女,其他,26,55,1909,2018/4/4,4,3,,,,信用一般,0,
6988606631,用户6988606631,男,其他,0,1,23,,4,0,,,,,2,
6989661561,用户6989661561,男,其他,0,1,908,2019/2/9,3,0,,,,信用较低,2,
6996511203,用户6996511203,男,其他,0,1,15,,3,0,,,,,2,
6767119615,Silenc丶eGJ,男,江西,67,5,36,,5,0,,,,,0,
7013578165,下酒蔡cwy737,男,其他,0,1,6,2019/2/27,3,0,,,,信用较低,2,
7011818559,心悦坤哥ASy052,男,其他,0,516,4749,,4,0,,,,,2,
7011781531,用户7011781531,男,其他,0,1,57,,2,0,,,,,2,
7018261364,菜奎奎E40955,男,其他,0,1,135,2019/3/3,4,0,,,,信用较低,2,
6834732510,暗丶水天狼,女,江苏,60,1,135,2018/11/11,0,0,,,,信用较低,2,
7013578216,不认输EYh741,男,其他,0,1,15,,4,0,,,,,2,
6725716280,背带葵_jhyktl,男,山西,60,2,258,,4,0,,,,,2,
6876170234,霸道总裁_mbx85,男,安徽,61,7,66,,4,0,,,,,2,
6940713999,蔡先生wIT678,男,其他,0,1,12,,2,0,,,,,2,
6572746932,Olear萱,女,湖北,7,33,1,2018/6/12,4,1,啦啦啦，this is Olear萱's Wei Bo ID,,,信用一般,0,
6918772157,迷路女孩23793,男,其他,1,1,81,2019/1/4,4,0,,,,信用较低,2,
6999237944,用户6999237944,男,其他,0,1,20,,4,0,,,,,2,
6936439652,善小阁Soz431,男,其他,0,1,32,,4,0,,,,,2,
5208649343,本人朴特特ikun,女,甘肃 兰州,161,153,3444,,30,5,ikun,,,,0,
7003533228,撩困无数wA2262,男,其他,0,1,345,2019/2/20,4,0,,,,信用较低,2,
7011848562,公益爱困Z18161,男,其他,0,1,163,,4,0,,,,,2,
6526474227,大西几的数据小猫咪,女,北京,103,197,3490,,14,5,为蔡徐坤数据而存在,,,,0,
6937313588,世博文曲fes305,男,其他,0,1,260,,4,0,,,,,0,
6960131909,我的菜包JlE773,男,其他,0,1,70,2019/1/17,4,0,,,,信用较低,2,
6941600373,绽放光芒lgR510,男,其他,0,1,11,,2,0,,,,,2,
6075868905,march葵,女,山东,116,98,1272,2016/11/27,14,3,国家一级刷微博运动员,,,信用较好,0,
6943360348,AK女工NkR839,男,其他,0,1,38,,4,0,,,,,2,
5635145902,坤坤的小咪喵,女,其他,215,694,7536,,14,1,,,,,0,
6942250170,用户6942250170,男,其他,0,1,75,2019/1/16,4,0,,,,信用较低,2,
7012393328,心中有坤O7d294,男,其他,2,1,252,,4,0,,,,,2,
6856997318,用户2563591148,男,北京 东城区,1,1,172,2018/11/19,4,0,,,,信用较低,2,
1885213732,坤ai安然,女,广东 深圳,5678,4865,21223,,30,6,,,,,0,
7019788177,专注舞台oKn044,男,其他,2,1,177,,4,0,岑岚坊责浈印钱斩,,,,2,
2415895401,坤坤的IKUN呢,女,辽宁,58,18,5074,2013/1/19,4,0,,,,信用较好,0,
6712044260,slaughterslaughter198009,女,海外,55,1,73,,4,0,,,,,2,
6986803335,用户6986803335,男,其他,0,1,22,,4,0,,,,,2,
6995277499,小菜包aJ3210,男,其他,0,1,30,2019/2/14,4,0,,,,信用较低,2,
6909668872,用户6909668872,男,四川 甘孜,0,1,57,,3,0,,,,,2,
7020128779,大奎超酷hfY924,男,其他,0,1,44,2019/3/4,4,0,,,,信用较低,2,
7012394471,葵妈威武tcD111,男,其他,0,1,1685,,4,0,,,,,2,
7001673842,用户7001673842,男,其他,1,1,37,2019/2/19,4,0,,,,信用较低,2,
7018842841,奎少1vE740,男,其他,0,1,1,,1,0,,,,,2,
6989051524,用户6989051524,男,其他,0,1,903,2019/2/9,3,0,,,,信用较低,2,
7011573166,用户7011573166,男,其他,0,1,32,,3,0,,,,,2,
6988606614,用户6988606614,男,其他,0,1,21,,4,0,,,,,2,
5884420546,蔡先生的太阳花,女,浙江,40,6,519,,4,0,,,,,0,
6520853877,愛在心裏的坤坤,女,广东,152,48,5913,,4,1,,,,,0,
6544318514,坤坤的小粉丝儿1,女,吉林,969,713,7751,2018/5/8,17,0,,,,信用一般,0,
7019923111,菜式点心fiE105,男,其他,0,1,158,,4,0,,,,,2,
7012477465,坤坤不困rpy433,男,其他,0,1,17,,4,0,,,,,2,
7012411955,坤花向阳hcl002,男,其他,0,1,28,2019/2/27,3,0,,,,信用较低,2,
7012394361,八月的坤Tkx906,男,其他,2,1,294,,4,0,,,,,2,
6941396848,葵妈爱坤V20088,男,其他,0,1,16,,3,0,,,,,2,
6825460016,用户6825460016,女,山西 晋中,0,1,187,,4,0,,,,,2,
7011832319,大眼坤tO6473,男,其他,0,1,114,,4,0,,,,,2,
6998095861,用户6998095861,男,其他,9,1,32,,4,0,,,,,2,
6963941294,用户6963941294,男,其他,0,1,26,2019/1/20,3,0,,,,信用较低,2,
6068933500,唯迷坤坤,女,辽宁 沈阳,24,18,1519,2016/11/22,4,1,,,,信用较好,0,
6927288825,汝北棒z_n蔓延,男,重庆,74,39,21,,4,0,,,,,0,
6520168001,读三遍,女,其他,236,478,5660,2018/4/4,28,6,,,,信用较好,0,
7011626322,用户7011626322,男,其他,0,1,43,,4,0,,,,,2,
7010929768,西瓜子GcH310,男,其他,0,1,87,2019/2/26,4,0,,,,信用较低,2,
6773155877,用户6773155877,女,湖北 黄冈,0,1,57,,4,0,,,,,2,
7014391912,小葵花籽PHq860,男,其他,0,1,136,2019/2/28,2,0,,,,信用较低,2,
6868534408,请__喊我玥姐姐,女,安徽,61,1,26,,4,0,,,,,2,
7011621630,用户7011621630,男,其他,0,1,38,,4,0,,,,,2,
6975263316,小西几0Zv136,男,其他,0,1,44,,4,0,,,,,2,
6551906811,KUN辞南·,女,河南,64,32,977,,9,1,热爱本无罪.,,,,0,
7014402344,我坤稳重8cN339,男,其他,0,1,24,,4,0,,,,,2,
6639875464,violent270,女,河南,6,1,822,2018/8/16,4,0,,,,信用较低,2,
7017275635,奎式貂衣T6a277,男,其他,0,1,34,,4,0,,,,,2,
6980132213,众矢的之uVX229,男,其他,0,1,37,,4,0,,,,,2,
7027171069,人时妙8ad079,男,其他,0,1,3,2019/3/10,0,0,,,,信用较低,2,
6989051553,用户6989051553,男,其他,0,1,890,,3,0,,,,,2,
6937297767,kkndzw2c6345,男,其他,0,1,39,,4,0,,,,,2,
7010899255,坤神QrV783,男,其他,0,1,33,2019/2/26,4,0,,,,信用较低,2,
6918773127,大眼葵08458,男,其他,0,1,73,,4,0,,,,,2,
6728249583,Kun的小葵宝贝,女,湖南,29,50,463,,4,1,KUN的小猫咪�,,,,0,
7016516384,做坤立麦aim031,男,其他,11,2,58,,4,0,屠九防枪诀,,,,2,
7012477962,徐坤真帅t6C348,男,其他,0,1,13,,3,0,,,,,2,
6875244342,七凉Yeee,女,其他,32,14,287,2018/12/5,9,0,成名在望。,,,信用较好,0,
6726272633,用户6726272633,女,海外 泰国,0,1,380,,4,0,,,,,2,
7011781528,坤不敢当B5A161,男,其他,0,1,75,,3,0,,,,,2,
6542848816,奶酷葵奎-,女,湖南,224,317,5568,2018/5/6,22,3,没兴趣,,蔡徐坤工作室,信用较好,0,
6960154744,小葵麻麻7fu116,男,其他,0,1,39,2019/1/17,4,0,,,,信用较低,2,
6940530692,奎姐爱坤fJ4590,男,其他,0,1,7,,3,0,,,,,2,
7016582145,八零二684617,男,其他,0,1,12,,3,0,,,,,2,
7013578280,小坤的neineixx7534,男,其他,0,1,15,2019/2/27,4,0,,,,信用较低,2,
7016516600,蔡撩撩HU0731,男,其他,13,28,69,,4,0,宦禹儿秒计刀谱,,,,2,
6863779865,用户6863779865,男,其他,16,1,76,,4,0,,,,,0,
6989051640,用户6989051640,男,其他,0,1,942,,3,0,,,,,2,
7001348305,用户7001348305,男,其他,0,1,11,2019/2/18,4,0,,,,信用较低,2,
6495747166,Zheng的得,女,其他,291,60,5866,,4,3,,,,,0,
7020256509,大奎超酷h3T059,男,其他,0,1,2,2019/3/4,1,0,,,,信用较低,2,
6589895261,凉水刺喉笑霜,男,江苏,4,1,582,,4,0,,,,,2,
6628052836,欲情故纵_m_kisso,男,青海,59,1,604,,4,0,,,,,2,
6576677886,用户6576677886,女,海外 美国,0,1,1024,,4,0,,,,,2,
6574468275,别看了不是,男,海外 法国,220,39,29698,,9,5,黑他的:愿你今后所珍视之人全是Ikun,,,,0,
7005552908,ikun传媒tpH132,男,其他,0,1,169,2019/2/21,4,0,,,,信用较低,2,
7003550274,用户7003550274,男,其他,0,1,178,,4,0,,,,,2,
6993556543,用户6993556543,男,其他,0,1,42,2019/2/13,4,0,,,,信用较低,2,
6825460626,用户6825460626,男,河南 新乡,0,1,144,,4,0,,,,,2,
5455534415,我就喜欢崽崽啊,女,新疆 乌鲁木齐,244,126,498,,14,1,你是一座孤独的岛有自己的城堡，我是上不了岸的潮只能将你环绕。,,,,0,
6937262020,雅风蓝馨Wrk911,男,其他,0,1,33,2019/1/14,4,0,,,,信用较低,2,
6961618415,用户6961618415,男,其他,0,1,30,,4,0,,,,,2,
6978127275,以速我何X1c956,男,其他,0,1,44,2019/1/30,4,0,,,,信用较低,2,
1114354765,最棒坤,女,贵州 贵阳,153,191,3147,,4,0,,,,,0,
7016941294,小猫咪唷rbw323,男,其他,0,1,81,,4,0,,,,,2,
6875539424,爱坤的仙女_uxf71,男,湖南 衡阳,62,5,65,2018/12/6,4,0,,,粘奏胸瞒有限公司,信用较低,2,
7012698772,战狼葵妈02q613,男,其他,0,1,26,,4,0,,,,,2,
7016516532,娃菜娃好食给十我来盘啊,男,其他,22,1,67,,4,0,邰苹庵崔雁势棍法,,,,2,
6308455893,可可嘟比_coco,女,海外 法国,117,54,161,2017/7/6,11,0,用你三生烟火，换你一世迷离,衢州二中,你猜u,信用较好,0,
7014402353,是奎麻麻hKo968,男,其他,0,1,23,2019/2/28,3,0,,,,信用较低,2,
7012396351,专注护坤rkM402,男,其他,0,1,20,,3,0,,,,,2,
6594458855,2sRnnt23193,男,其他,57,40,2232,2018/7/8,14,0,,,,信用一般,0,
6975437743,奎宝RPK038,男,其他,0,1,110,,4,0,,,,,2,
7012127622,葵葵冲鸭7VV715,男,其他,0,1,32,2019/2/27,4,0,,,,信用较低,2,
6752764158,无可替代的巨C,男,台湾 其他,32,2,25,,2,0,,,,,2,
6788872717,用户6788872717,女,山东 枣庄,60,1,22,,0,0,,,,,0,
6557435146,我的_坤,女,吉林,79,88,6565,,4,0,,,,,0,
6528889972,辣手非洲猪,女,湖南,574,1819,8313,,29,6,,,,,0,
6989212658,果为粮FyI522,男,其他,0,2,62,,4,0,,,,,2,
7006614930,良除安fTH547,男,其他,1,1,757,2019/2/22,4,0,,,,信用较低,2,
6994842250,奎妈最棒v5b290,男,其他,0,1,36,,3,0,,,,,2,
6992170576,用户6992170576,男,其他,0,1,37,2019/2/12,4,0,,,,信用较低,2,
7014409018,小瞎鱼ugq439,男,其他,0,1,47,,4,0,,,,,2,
7015211315,我坤貂呢aW7782,男,其他,0,1,12,,3,0,,,,,2,
7016934662,战骑队8Ad930,男,其他,0,1,78,,4,0,,,,,2,
6511510813,偏遇薏苡,女,其他,46,17,970,,4,0,,,,,0,
6876213597,用户6876213597,女,江苏 淮安,0,1,49,2018/12/6,4,0,,,,信用较低,2,
6937263890,素描oUw176,男,其他,0,1,33,,4,0,,,,,2,
5705867662,长情于KUN,男,其他,345,743,6398,,9,1,喜欢蔡徐坤的自恋小姐姐哦。,,,,0,
7014563898,梦见82C9C080,男,其他,0,1,8,,3,0,,,,,2,
7012265181,神隐小坤ZwQ260,男,其他,0,1,255,2019/2/26,4,0,,,,信用一般,2,
5441634487,璃娇洛,女,吉林 通化,236,88,254,,4,1,我希望有个如你一般的人，如山间清爽的风，如古城温暖的光，从清晨，到夜晚，从山野，到书房，一切都没有关系，只要最后是你就好。,,,,0,
6964779668,用户6964779668,男,其他,0,1,58,,4,0,,,,,2,
6971291739,用户6971291739,男,其他,0,1,54,,4,0,,,,,2,
6964957973,用户6964957973,男,其他,2,1,41,2019/1/19,4,0,,,,信用一般,2,
6878346202,用户6878346202,男,宁夏 吴忠,0,1,221,,4,0,,,,,2,
7012264211,麻麻粉dE9825,男,其他,0,1,255,,4,0,,,,,2,
7011939891,葵幼儿园sul902,男,其他,0,1,11,,3,0,,,,,2,
6982934083,高修杰_Dooley,男,其他,30,1,72,2019/2/3,4,0,荀指圆坡各逸峡腿,,,信用一般,2,
7018572536,一只坤喵QiJ112,男,其他,0,1,2,,0,0,,,,,2,
7018783456,霸气奎总DOu040,男,其他,8,1,104,,4,0,,,,,2,
6523682314,挚爱坤坤的6523682314,女,宁夏,612,98,2374,,9,0,本命蔡徐坤,,,,2,
2158646272,静界唯坤,女,江苏 无锡,222,366,3833,,26,0,say what,,,,0,
7001804009,灏忎含3D0722,男,其他,1,1,38,,4,0,,,,,2,
6468743794,原味小仙女1997,女,其他,96,37,5902,2018/2/5,9,1,,,,信用较好,0,
7004711703,用户7004711703,男,其他,0,1,75,,4,0,,,,,2,
6967290893,费莫子舒Clara,男,其他,0,1,340,,4,0,,,,,2,
6673247192,年度风云妈粉,女,广东,44,52,170,2018/8/31,9,1,此人只爱大猪蹄子（蔡徐坤）,,,信用一般,0,
6998708097,用户6998708097,男,其他,9,1,46,,4,0,,,,,2,
7012477899,8eN282,男,其他,0,1,14,2019/2/27,3,0,,,,信用较低,2,
7012114703,用户7012114703,男,其他,0,1,8,,3,0,,,,,2,
7010811357,可爱坤0rZ303,男,其他,0,1,31,2019/2/26,4,0,,,,信用较低,2,
6880691606,用户6880691606,男,山西,0,1,272,,4,0,,,,,2,
7013556310,坤哥爱坤ife663,男,其他,0,1,16,,3,0,,,,,2,
